2016-05-05 23:21:23,903 |main                 |EntitySaxReader               |W| Ignoring invalid field name [condition] found for the entity: StatusValidChange with value=
2016-05-05 23:21:23,903 |main                 |EntitySaxReader               |W| Ignoring invalid field name [condition] found for the entity: StatusValidChange with value=
2016-05-05 23:21:23,903 |main                 |EntitySaxReader               |W| Ignoring invalid field name [condition] found for the entity: StatusValidChange with value=
2016-05-05 23:21:23,903 |main                 |EntitySaxReader               |W| Ignoring invalid field name [condition] found for the entity: StatusValidChange with value=
2016-05-05 23:21:23,903 |main                 |EntitySaxReader               |W| Ignoring invalid field name [condition] found for the entity: StatusValidChange with value=
2016-05-05 23:21:23,904 |main                 |EntitySaxReader               |W| Ignoring invalid field name [condition] found for the entity: StatusValidChange with value=
2016-05-05 23:21:23,904 |main                 |EntitySaxReader               |W| Ignoring invalid field name [condition] found for the entity: StatusValidChange with value=
2016-05-05 23:21:23,904 |main                 |EntitySaxReader               |W| Ignoring invalid field name [condition] found for the entity: StatusValidChange with value=
2016-05-05 23:21:23,904 |main                 |EntitySaxReader               |W| Ignoring invalid field name [condition] found for the entity: StatusValidChange with value=
2016-05-05 23:21:23,904 |main                 |EntitySaxReader               |W| Ignoring invalid field name [condition] found for the entity: StatusValidChange with value=
2016-05-05 23:21:23,905 |main                 |EntitySaxReader               |W| Ignoring invalid field name [condition] found for the entity: StatusValidChange with value=
2016-05-05 23:21:23,905 |main                 |EntitySaxReader               |W| Ignoring invalid field name [condition] found for the entity: StatusValidChange with value=
2016-05-05 23:21:23,905 |main                 |EntitySaxReader               |W| Ignoring invalid field name [condition] found for the entity: StatusValidChange with value=
2016-05-05 23:21:23,905 |main                 |EntitySaxReader               |W| Ignoring invalid field name [condition] found for the entity: StatusValidChange with value=
2016-05-05 23:21:23,905 |main                 |EntitySaxReader               |W| Ignoring invalid field name [condition] found for the entity: StatusValidChange with value=
2016-05-05 23:21:23,906 |main                 |EntitySaxReader               |W| Ignoring invalid field name [condition] found for the entity: StatusValidChange with value=
2016-05-05 23:21:23,906 |main                 |EntitySaxReader               |W| Ignoring invalid field name [condition] found for the entity: StatusValidChange with value=
2016-05-05 23:21:23,906 |main                 |EntitySaxReader               |W| Ignoring invalid field name [condition] found for the entity: StatusValidChange with value=
2016-05-05 23:21:23,906 |main                 |EntitySaxReader               |W| Ignoring invalid field name [condition] found for the entity: StatusValidChange with value=
2016-05-05 23:21:24,053 |main                 |EntitySaxReader               |I| Finished 379 values from file:/home/steven/repository/socialmanagement/docker/playground/ofbiz/apache-ofbiz-13.07.03/applications/party/data/PartyTypeData.xml
